nome,autor,editora,resumo,isbn,categoria,numero_paginas,exemplar,capa
Quem pensa enriquece: o legado,Napoleon Hill,Citadel,"O clássico best-seller sobre o sucesso agora anotado e acrescido de exemplos modernos, comprovando que a filosofia da realização pessoal de Napoleon Hill permanece atual e ainda orienta aqueles que são bem-sucedidos. Um livro que vai mudar não só o que você pensa, vai mudar o modo como você pensa.",978-85-68014-54-7,Negócios,364,978-85-68014-54-7,https://www.publishnews.com.br/estaticos/uploads/2019/02/rMr7H9xgqLJvCmdZQys2gqGn0tleA5HcQybS16OOZVtAt4NNNDkI5VlAW3YXTxpjdynbR16cm00dpV0A.jpg
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Paralela,"Evelyn Hugo sempre esteve sob os holofotes - seja estrelando uma produção vencedora do Oscar, protagonizando algum escândalo ou aparecendo com um novo marido… pela sétima vez. Agora, prestes a completar oitenta anos e reclusa em seu apartamento no Upper East Side, a famigerada atriz decide contar a própria história - ou sua “verdadeira história” -, mas com uma condição: que Monique Grant, jornalista iniciante e até então desconhecida, seja a entrevistadora. Ao embarcar nessa misteriosa empreitada, a jovem repórter começa a se dar conta de que nada é por acaso - e que suas trajetórias podem estar profunda e irreversivelmente conectadas. 
",978-85-84391-50-9,Ficção,360,978-85-84391-50-9,https://www.publishnews.com.br/estaticos/uploads/2020/09/2bPJukvai2GX2aFutD1qWP1OmwFX6v98fhUXOn7wylKXPceFoQxt55tzYhfQFaitjflpGkSSaQzVZ18k.jpg
Do mil ao milhão,Thiago Nigro,HarperCollins,"Em seu primeiro livro, Thiago Nigro, criador da plataforma O Primo Rico, ensina aos leitores os três pilares para atingir a independência financeira: gastar bem, investir melhor e ganhar mais. Por meio de dados e de sua própria experiência como investidor e assessor, Nigro mostra que a riqueza é possível para todos – basta estar disposto a aprender e se dedicar.",978-85-95083-27-1,Negócios,192,978-85-95083-27-1,https://www.publishnews.com.br/estaticos/uploads/2018/12/r45liYDuqOHQRJlKyhGi8KtfeXhwsr60hzkrN1xIHmnI8hyJUJfziDKooYi22JQfFTdopHRumlqknJIq.jpg
O poder da cura,Padre Reginaldo Manzotti,Petra,"Neste livro, Padre Reginaldo Manzotti revela para nós os caminhos que devemos trilhar para tomar posse dos remédios que o Médico dos médicos coloca diariamente à nossa disposição para que sejamos interiormente completos. Cheias de sabedoria e piedade, estas páginas constituem um alento necessário para o duro tempo em que vivemos.",978-65-88444-51-1,Autoajuda,176,978-65-88444-51-1,https://www.publishnews.com.br/estaticos/uploads/2022/04/GDvoReQBKAaHidCl7erUhuNj4ApYYW2Ecr9TacWiaSXUUhtYzXf8232a9XpA3t1BFh0l2sU6vS9kXBLl.jpg
É assim que acaba,Colleen Hoover,Galera Record,"Em É assim que acaba, Colleen Hoover nos apresenta Lily, uma jovem que se mudou de uma cidadezinha do Maine para Boston, se formou em marketing e abriu a própria floricultura. E é em um dos terraços de Boston que ela conhece Ryle, um neurocirurgião confiante, teimoso e talvez até um pouco arrogante, com uma grande aversão a relacionamentos, mas que se sente muito atraído por ela. Quando os dois se apaixonam, Lily se vê no meio de um relacionamento turbulento que não é o que ela esperava. Mas será que ela conseguirá enxergar isso, por mais doloroso que seja?",978-85-01112-51-4,Ficção,368,978-85-01112-51-4,https://www.publishnews.com.br/estaticos/uploads/2021/08/AYH42hiujusD1xdeJuMBfd0xKA2pdPZwK9hCt024trgI1r7mwU2LYHR9PcIQQAmtfAUG6BwIpkvjvOXj.jpg
Escravidão -Vol 3,Laurentino Gomes,Globo Livros,"O último livro da trilogia Escravidão é dedicado ao século XIX; à Independência; ao Primeiro e ao Segundo Reinados; ao movimento abolicionista, que resultou na Lei Áurea de 13 de maio de 1888; e ao legado da escravidão, que ainda hoje emperra a caminhada dos brasileiros em direção ao futuro. A escravidão era, na definição de José Bonifácio de Andrada e Silva, o Patriarca da Independência, ""um cancro que contaminava e roía as entranhas da sociedade brasileira"". Disseminado por todo o território, o escravismo perpassava todas as atividades e todas as classes sociais. Maior território escravista da América em 1822, o Brasil assim se manteria até o final do século XIX, com sua rotina pautada pelo chicote e pela violência contra homens e mulheres escravizados.",978-65-59870-52-3,Não ficção,592,978-65-59870-52-3,https://www.publishnews.com.br/estaticos/uploads/2022/06/PAMOc4E313R8RNYNsoicwYVMx3mLQmbTtMUE5Z5E5PUpVCRAO6s4eeaawUqJbaZlJPQ1bO7bYKjwiCWd.jpg
Nas pegadas da alemoa,Ilko Minev,Buzz,"E tinha muito mais: atônitos, descobrimos que nos arquivos federais em Berlim está guardado um documento antes secreto, com o título “Guayana-Projekt”, no qual o especialista em Amazônia e Untersturmführer da SS, Schulz-Kampfhenkel, recomenda explicitamente a invasão e a conquista da Guiana Francesa. Para ele, não era aceitável que a Inglaterra tivesse a Guiana, com sua capital Georgetown; que a Holanda fosse dona do Suriname; nem que os franceses possuíssem a Guiana Francesa, com sua capital Caiena, enquanto a Alemanha não tinha nenhuma base naquela região tão estratégica e rica em minerais. “A tomada das Guianas é uma questão de primeira importância por razões político-estratégicas e coloniais”, afirma ele. Em carta ao Reichsführer da SS, Heinrich Himmler, de 26 de abril 1940, Kampfhenkel dá ainda a receita para a fácil conquista daqueles territórios: a aliança com os indígenas e o aproveitamento das boas relações com o Brasil, cujo presidente, Getúlio Vargas, segundo ele, seria admirador de Hitler e de Mussolini.",978-65-86077-89-6,Ficção,176,978-65-86077-89-6,https://www.publishnews.com.br/estaticos/uploads/2021/12/oxPbUniy9OY7iqE8eJzaZe2lwEqJSWQ7rgfrB0dtxR1PsflR8aNxgDnRfyLB3k5hPLGNphEVz5btx569.jpg
O poder da autorresponsabilidade,Paulo Vieira,Gente,"Muitas pessoas têm consciência de que precisam assumir as rédeas da própria vida, porém não sabem como fazer isso na prática. Este livro traz ao leitor o conceito de autorresponsabilidade. Trata-se de um manual que apresenta a metodologia das 6 leis para a conquista da autorresponsabilidade, de modo que o leitor assuma o comando de sua vida. Aplicando esse conceito, você será capaz de levar alta performance à vida pessoal e profissional, saindo de um estado não satisfatório para uma vida de abundância e de sucesso.",978-85-45202-21-9,Negócios,160,978-85-45202-21-9,https://www.publishnews.com.br/estaticos/uploads/2018/01/AbONUvGHIy8HqrjYtdB2BOvF323DYdrgEvQi5dXk3D2hpJSKrKjjyjUQLgpgG2lP4SxZG1AzKZHegCzT.jpg
Mais esperto que o diabo,Napoleon Hill,Citadel,"Escrito em 1938, após uma das maiores crises econômicas, e precedendo a Segunda Guerra Mundial, este livro não somente é uma fonte de inspiração e coragem, mas deve ser considerado um manual para todas aquelas pessoas que desejam ser mais espertas que seus medos, problemas e limitações, pois, como o próprio Hill fala - em toda adversidade existe uma semente de benefício equivalente. ",978-85-68014-00-4,Autoajuda,200,978-85-68014-00-4,https://www.publishnews.com.br/estaticos/uploads/2021/07/Vgzr5F4Gh4Y0HTGeYaoSimsdVz8uJPebAWx397qktmYwr00d2YDOElgtMJ9QoFAT9LtGKTA3keBzzTDd.jpg
Amor & gelato,Jenna Evans Welch,Intrínseca,"Um verão na Itália, uma antiga história de amor e um segredo de família. Depois da morte da mãe, Lina fica com a missão de realizar um último pedido: ir até a Itália para conhecer o pai. Do dia para a noite, ela se vê na famosa paisagem da Toscana, morando em uma casa localizada no mesmo terreno de um cemitério memorial de soldados americanos da Segunda Guerra Mundial, com um homem que nunca tinha ouvido falar. Apesar das belezas arquitetônicas, da história da cidade e das comidas maravilhosas, o que Lina mais quer é ir embora correndo dali. Mas as coisas começam a mudar quando ela recebe um antigo diário da mãe. Nele, a menina embarca em uma misteriosa história de amor, que pode explicar suas próprias origens.",978-85-51002-34-6,Ficção,320,978-85-51002-34-6,https://www.publishnews.com.br/estaticos/uploads/2021/04/7UAARrPReZ5vPtZZ0Qt3taq5HPZyfTCJBQsnxc0x7R3lPSQHdocPPoLDRhoWIqglf9grbBfXL6xgo25d.jpg
A hipótese do amor,Ali Hazelwood,Arqueiro,"Olive Smith, aluna do doutorado em Biologia da Universidade Stanford, acredita na ciência – não em algo incontrolável como o amor. Depois de sair algumas vezes com Jeremy, ela percebe que sua melhor amiga gosta dele e decide juntá-los. Para mostrar que está feliz com essa escolha, Olive precisa ser convincente: afinal, cientistas exigem provas. Sem muitas opções, ela resolve inventar um namoro de mentira e, num momento de pânico, beija o primeiro homem que vê pela frente. O problema é que esse homem é Adam Carlsen, um jovem professor de prestígio – conhecido por levar os alunos às lágrimas. Por isso, Olive fica chocada quando o tirano dos laboratórios concorda em levar adiante a farsa e fingir ser seu namorado. De repente, seu pequeno experimento parece perigosamente próximo da combustão e aquela pequena possibilidade científica, que era apenas uma hipótese sobre o amor, transforma-se em algo totalmente inesperado.",978-65-55653-30-4,Ficção,336,978-65-55653-30-4,https://www.publishnews.com.br/estaticos/uploads/2022/07/4F2OIJaHRA4LE6vaQLVpfxpjMTlj8qzwOqt1VAnzKSRNCBlOPhRhLINhVN2iW2NMFJ6kD4m4HUInN8QS.jpg
"Heartstopper: Dois garotos, um encontro",Alice Oseman,Seguinte,"Charlie Spring e Nick Nelson não têm quase nada em comum. Charlie é um aluno dedicado e bastante inseguro por conta do bullying que sofre no colégio desde que se assumiu gay. Já Nick é superpopular, especialmente querido por ser um ótimo jogador de rúgbi. Quando os dois passam a sentar um ao lado do outro toda manhã, uma amizade intensa se desenvolve, e eles ficam cada vez mais próximos. Charlie logo começa a se sentir diferente a respeito do novo amigo, apesar de saber que se apaixonar por um garoto hétero só vai gerar frustrações. Mas o próprio Nick está em dúvida sobre o que sente — e talvez os garotos estejam prestes a descobrir que, quando menos se espera, o amor pode funcionar das formas mais incríveis e surpreendentes.",978-85-55341-61-8,Infantojuvenil,288,978-85-55341-61-8,https://www.publishnews.com.br/estaticos/uploads/2021/10/e4MLhVpWBRhiTQKgxAdSDNrsjPsNxDwlCYXLs6y117COBKKHPhDzjWZkytJmiVyaVKriUcUzoC9molSJ.jpg
Heartstopper: De mãos dadas,Alice Oseman,Seguinte,"Charlie e Nick já não precisam esconder de ninguém no colégio que estão namorando, e agora, mais do que nunca, Charlie quer finalmente dizer “Eu te amo”. O que parece um gesto simples se torna bem complicado quando sua ansiedade o faz questionar se Nick se sente da mesma forma… Nick, por sua vez, está com a cabeça cheia. Afinal, ele ainda não teve a oportunidade de se assumir para o pai, e se preocupa constantemente com Charlie, que dá sinais claros de ter um transtorno alimentar. Conforme o relacionamento dos dois amadurece, os desafios que vêm pela frente ficam cada vez mais difíceis — mas os garotos logo vão aprender que amar alguém nada mais é do que estar ao seu lado, juntos, de mãos dadas.",978-85-55342-06-6,Infantojuvenil,384,978-85-55342-06-6,https://www.publishnews.com.br/estaticos/uploads/2022/06/KcL7rIS3L0etl22fR2dOqEZ8E5xcfR5mOAbdzHHAO5r3xeynWkArmoAA9kvEEwUaSdjdX44FwCk5FB94.jpg
Mulheres que correm com os lobos (capa dura),Clarissa Pinkola Estes,Rocco,"Clássico dos estudos sobre o sagrado feminino e o feminismo, o livro Mulheres que correm com os lobos é o primeiro de uma série de longsellers da Rocco a ganhar edição com novo projeto gráfico e capa dura.",978-85-32529-78-7,Não ficção,576,978-85-32529-78-7,https://www.publishnews.com.br/estaticos/uploads/2018/12/nCxf8cyh2k3HhDeb2nFf52XRbR5AJ4WRr6FaZ4XIELrSr0kEGpwxoc2YCbdYRlLp1t7OvWBQiSXbrZnm.jpg
Especialista em pessoas,Tiago Brunet,Academia,"No mundo ideal, as pessoas amam umas às outras, perdoam até 70 vezes 7 e não julgam para não serem julgadas. Enquanto isso, no mundo real, os amigos próximos podem invejar, familiares espalham fofocas e somos abandonados por quem menos esperamos que façaisso. O mundo real mostra que o verdadeiro desafio está em administrar o outro.",978-85-42218-75-6,Autoajuda,224,978-85-42218-75-6,https://www.publishnews.com.br/estaticos/uploads/2020/02/gAVfBTlWcDo904T0L57KWasTikh23seBmK2KUAZypACZGLLIEyBk73spRAehsknR49DhJ2RdjSAuqB1P.jpg
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Paralela,"Evelyn Hugo sempre esteve sob os holofotes - seja estrelando uma produção vencedora do Oscar, protagonizando algum escândalo ou aparecendo com um novo marido… pela sétima vez. Agora, prestes a completar oitenta anos e reclusa em seu apartamento no Upper East Side, a famigerada atriz decide contar a própria história - ou sua “verdadeira história” -, mas com uma condição: que Monique Grant, jornalista iniciante e até então desconhecida, seja a entrevistadora. Ao embarcar nessa misteriosa empreitada, a jovem repórter começa a se dar conta de que nada é por acaso - e que suas trajetórias podem estar profunda e irreversivelmente conectadas. 
",978-85-84391-50-9,Ficção,360,978-85-84391-50-9,https://www.publishnews.com.br/estaticos/uploads/2020/09/2bPJukvai2GX2aFutD1qWP1OmwFX6v98fhUXOn7wylKXPceFoQxt55tzYhfQFaitjflpGkSSaQzVZ18k.jpg
Luluca - No mundo da moda - Edição especial,Luluca,Astral Cultural,"Apaixonada pelo mundo da moda, Luluca preparou um verdadeiro ateliê para que você possa criar os looks mais fashionistas e arrasadores junto com ela. Aqui você encontra moldes das peças de roupa que estão em alta, manequins, acessórios para incrementar o visual, papéis com estampas e cores incríveis, moodboard e diversos looks para você se inspirar. É sua vez de se transformar em estilista e criar sua própria coleção de moda. ",978-65-55661-69-9,Infantojuvenil,64,978-65-55661-69-9,https://www.publishnews.com.br/estaticos/uploads/2022/07/yAHuPO6qWoith5JXpJaqMY6TZfh9H84u3fxZ9L6dIZfXPNHg7Zz2ubIbdJsrI7nf8HIuIBQKTatTnLud.jpg
Os dois morrem no final,Adam Silvera,Intrínseca,"No dia 5 de setembro, pouco depois da meia-noite, Mateo Torrez e Rufus Emeterio recebem uma ligação da Central da Morte. A notícia é devastadora: eles vão morrer naquele mesmo dia. Os dois não se conhecem, mas, por motivos diferentes, estão à procura de um amigo com quem compartilhar os últimos momentos, uma conexão verdadeira que ajude a diminuir um pouco a angústia e a solidão que sentem. Por sorte, existe um aplicativo para isso, e é graças a ele que Rufus e Mateo vão se encontrar para uma última grande aventura: viver uma vida inteira em um único dia. Uma história sensível e emocionante, que nos lembra o que significa estar vivo. Com seu olhar único, Adam Silvera mostra que cada segundo importa, e mesmo que não haja vida sem morte, nem amor sem perda, tudo pode mudar em 24 horas.",978-65-55603-02-6,Infantojuvenil,416,978-65-55603-02-6,https://www.publishnews.com.br/estaticos/uploads/2021/11/rgwaQQMyCBgyfi23uVEXD6UJlAmXz3LBTtBzOfixko0cXrsamOHyEnWnNPW4CXUvwPzZaDGNKemoRxQf.jpg
One Piece 3 em 1 Vol. 1,Eiichiro Oda,Panini,"Luffy deseja tornar-se um pirata por conta da admiração que sente por Shanks. O garoto acaba consumindo a Gomugomu-no-mi e mais tarde se envolve em uma briga com bandidos, na qual Shanks aparece para salvá-lo, porém, o pirata de cabelos vermelhos perde seu braço esquerdo na ocasião. Anos depois, Luffy conhece Coby, um faz-tudo que sonha em se tornar um oficial da marinha, e ambos rumam para uma ilha em que há uma base da Marinha, onde o famoso espadachim e caçador de piratas, Roronoa Zoro, se encontra aprisionado. Como será o desenrolar desse encontro...?!",978-65-59604-64-7,Ficção,614,978-65-59604-64-7,https://www.publishnews.com.br/estaticos/uploads/2022/04/o8e2jH4yV1uIcx2rZ2PqdE0TJ4nPRGfYZyxShUqphMUSN5iCAA62nyvyDYThLw1X3dLOOia4okavq0Kr.jpg
Torto arado,Itamar Vieira Junior,Todavia,"Nas profundezas do sertão baiano, as irmãs Bibiana e Belonísia encontram uma velha e misteriosa faca na mala guardada sob a cama da avó. Ocorre então um acidente. E para sempre suas vidas estarão ligadas — a ponto de uma precisar ser a voz da outra. Numa trama conduzida com maestria e com uma prosa melodiosa, o romance conta uma história de vida e morte, de combate e redenção.",978-65-80309-31-3,Ficção,264,978-65-80309-31-3,https://www.publishnews.com.br/estaticos/uploads/2020/12/mAfckVkdsHEvlztqX5ThJBoeY5EpIQ8yhfh9Vfk3amwg7OxAwHgHT7hSUDvgtIOWiRDU7QYJwcnKAplz.jpg
Quem pensa enriquece: o legado,Napoleon Hill,Citadel,"O clássico best-seller sobre o sucesso agora anotado e acrescido de exemplos modernos, comprovando que a filosofia da realização pessoal de Napoleon Hill permanece atual e ainda orienta aqueles que são bem-sucedidos. Um livro que vai mudar não só o que você pensa, vai mudar o modo como você pensa.",978-85-68014-54-7,Negócios,364,978-85-68014-54-7,https://www.publishnews.com.br/estaticos/uploads/2019/02/rMr7H9xgqLJvCmdZQys2gqGn0tleA5HcQybS16OOZVtAt4NNNDkI5VlAW3YXTxpjdynbR16cm00dpV0A.jpg
Heartstopper: Minha pessoa favorita,Alice Oseman,Seguinte,"Charlie e Nick são melhores amigos, mas tudo muda depois que eles se beijam em uma festa. Charlie acredita que cometeu um grande erro e arruinou a amizade dos dois para sempre, e Nick está mais confuso do que nunca. Mas aos poucos Nick começa a enxergar o mundo sob uma nova perspectiva e, com a ajuda de Charlie, descobre muitas coisas sobre o mundo que o cerca, sobre seus amigos — e, principalmente, sobre ele mesmo.",978-85-55341-62-5,Infantojuvenil,320,978-85-55341-62-5,https://www.publishnews.com.br/estaticos/uploads/2022/02/SMyUO71cOlrmYbqHiK1GlrawDfUt57KrL3VObuPJt10hPMql3q0VbTjZ1icamESH8h3G3chgnOGvOEup.jpg
A garota do lago,Charlie Donlea,Faro Editorial,"Summit Lake, uma pequena cidade entre montanhas, é esse tipo de lugar, bucólico e com encantadoras casas dispostas à beira de um longo trecho de água intocada. Duas semanas atrás, a estudante de direito Becca Eckersley foi brutalmente assassinada em uma dessas casas. Filha de um poderoso advogado, Becca estava no auge de sua vida. Atraída instintivamente pela notícia, a repórter Kelsey Castle vai até a cidade para investigar o caso. E enquanto descobre sobre as amizades de Becca, sua vida amorosa e os segredos que ela guardava, a repórter fica cada vez mais convencida de que a verdade sobre o que aconteceu com Becca pode ser a chave para superar as marcas sombrias de seu próprio passado.",978-85-62409-88-2,Ficção,296,978-85-62409-88-2,https://www.publishnews.com.br/estaticos/uploads/2019/04/o8HmV2jl1OLFJlkjT6qkTFADkYMEeZQ6gxYqaotYVj3B0QJ10S619PZtq6rs9pB9qvqs5Dv2yDwltjlJ.jpg
Luiza Helena – Mulher do Brasil,Pedro Bial,Gente,"Refazendo a trajetória não só de Luiza Helena, mas também de sua inspiradora família, particularmente da querida Tia Luiza, Pedro Bial conquista o leitor com esta envolvente biografia de uma das mulheres mais influentes do Brasil. Natural de Franca, interior de São Paulo, Luiza Helena Trajano carrega o trabalho em seu DNA e tem em sua tia, irmã de sua mãe, uma mentora e conselheira. É a partir dessa relação que ela inicia sua carreira profissional no negócio da família e, aos poucos, vai se tornando o sucesso que é hoje.",978-65-55441-83-3,Não ficção,320,978-65-55441-83-3,https://www.publishnews.com.br/estaticos/uploads/2022/06/d0Hvc3bqIMDDhjeWE9D9KxhGpbBQHPjSulKgxAjr1feWzW6wbLeiv99Vs4pxc5OE1JlzQeaV5QyAtg50.jpg
